"area","urgencia_baixa","urgencia_media","urgencia_alta","slot_1","slot_2"
"pix","0.025","0.025","0.950","Recebi pix de {valor} mas não apareceu no saldo|Me mandaram pix de {valor} {tempo} e não caiu|Um cliente pagou {valor} por pix e não chegou|Tô esperando pix de {valor} desde {tempo} e não aparece","O pagador confirmou e tem comprovante|Já conferi a chave e tá certa|Preciso desse dinheiro pra pagar contas|A pessoa que mandou diz que saiu da conta dela"
"pix","0.000","0.050","0.950","Alguém tá usando minha chave pix pra golpe|Minha chave pix foi cadastrada em outro banco sem autorização|Estão usando meus dados pra fazer pix em meu nome|Clonaram meu WhatsApp e pedem pix usando minha chave","Preciso bloquear minha chave urgente|Recebi reclamações de várias pessoas|Acho que roubaram meus dados|Preciso que investiguem e bloqueiem tudo"
"pix","0.950","0.050","0.000","Quero saber meu limite diário de pix|Qual a diferença de limite pix noturno e diurno?|Posso agendar pix recorrente todo mês?|Pix tem tarifa nesse banco?|Como funciona pix com troco?|Quero gerar QR code pra cobranças","Não achei essa informação no app|Preciso entender pra me organizar|Vi propaganda sobre isso|Como faço pelo app?"
"cartao","0.000","0.050","0.950","Meu cartão foi clonado e tem compras que não fiz|Apareceram compras no cartão que não reconheço|Meu cartão foi usado pra compras fraudulentas|Recebi notificação de compra de {valor} que não fiz|Acordei com várias notificações de compra que não são minhas|Tem compras estranhas na minha fatura","Uma de {valor} na {loja} e outras menores. Já bloqueei pelo app|{valor} na {loja} e mais compras internacionais|Total de {valor} em lojas que nunca usei. Preciso contestar|Compraram na {loja} e na {loja2} sem autorização|Foram várias em poucos minutos totalizando {valor}"
"cartao","0.025","0.025","0.950","Meu cartão não tá passando nas maquininhas|Fui fazer compra de {valor} e o cartão foi recusado|Meu cartão recusa todas as compras desde {tempo}|O cartão não passa na {loja}|Meu cartão físico parou de funcionar|Fui pagar no supermercado e não passou","Tenho limite disponível e não entendo o que houve|Passei vergonha na fila|Funciona em algumas lojas e em outras não|Já reiniciei o app e nada mudou|O chip pode ter estragado mas aproximação também não vai"
"cartao","0.025","0.950","0.025","Minha fatura veio com {valor} a mais|Tem cobrança de {valor} na fatura que não reconheço|Aparece cobrança duplicada da {loja} na fatura|Cobraram anuidade de {valor} sendo que é isento|Tem seguro de {valor} na fatura que nunca contratei|A fatura veio com juros de {valor} mas paguei na data|A {loja} cancelou compra de {valor} mas continua na fatura","Quero contestar e receber estorno|Tenho comprovante de cancelamento da loja|Nunca autorizei esse serviço|Preciso que corrijam antes do vencimento|Quero explicação detalhada dessa cobrança"
"cartao","0.950","0.025","0.025","Pedi cartão novo {tempo} e não chegou|Solicitei segunda via e faz mais de 15 dias|Cartão foi bloqueado e pedi novo mas não recebi|Pedi primeiro cartão e já passou do prazo|Segunda via foi pro endereço antigo|Cartão novo veio com nome errado","No app mostra enviado mas não recebi|Tô sem cartão e preciso fazer compras|Enquanto isso não tenho como pagar no crédito|O prazo informado já passou faz tempo"
"cartao","0.025","0.950","0.025","Meu limite diminuiu de {valor} sem aviso|Pedi aumento de limite e negaram sem explicação|Cancelei compra de {valor} e o limite não voltou|Meu limite zerou sem compra pendente|Limite era {valor} e caiu pra metade sem motivo|Compra parcelada cancelada e limite das parcelas futuras não voltou","Nunca atrasei pagamento|Sou cliente há anos com bom histórico|Preciso do limite pra compra importante|Meu score não mudou|Preciso de limite temporário pra emergência"
"cartao","0.950","0.025","0.025","Cartão virtual não funciona pra compras online|Não consigo gerar cartão virtual, dá {erro}|Cartão virtual recusado na {loja}|Cartão virtual não aceita em compras internacionais|Gerei cartão virtual e expirou antes de usar","Tentei em várias lojas e nenhuma aceita|Preciso comprar algo urgente online|Outros bancos funcionam normalmente|Já tentei gerar vários e todos dão problema"
"cartao","0.950","0.050","0.000","Fiz compra de {valor} na {loja} e não recebi cashback|Meus pontos zeraram sem eu resgatar|O cashback deveria cair em 30 dias e já passou|Meus pontos venceram sem aviso|Gasto bastante e quase não ganho pontos","A promoção dizia 5% de volta|Deveria ter recebido notificação|Quero entender as regras do programa|Outros clientes receberam e eu não"
"cartao","0.950","0.025","0.025","Aproximação do cartão não funciona|A função contactless parou {tempo}|Não consigo usar aproximação pelo celular|A aproximação tá desabilitada e não consigo ativar|Quero desativar aproximação por segurança e não acho opção","Tentei em várias maquininhas|Antes funcionava normalmente|Dá {erro} quando tento configurar|Prefiro usar só com senha"
"cartao","0.025","0.950","0.025","Quero parcelar fatura de {valor} e o app não oferece|Tentei parcelar fatura e deu {erro}|O parcelamento aprovado ficou com juros muito maiores|O sistema só oferece poucas parcelas com valor alto|Pedi parcelamento em {nparcelas} vezes e não aceitaram","Preciso dividir porque não consigo pagar à vista|Não quero ficar inadimplente|Na simulação mostrava um valor e na hora mudou|Preciso de mais parcelas pra caber no orçamento"
"cartao","0.025","0.025","0.950","Cartão bloqueado e não consigo desbloquear pelo app|Bloquearam por suspeita de fraude e não desbloqueia|Cartão bloqueou depois de compra de {valor}|Cartão bloqueado há {tempo} sem explicação|Bloqueei por precaução e agora não consigo desbloquear","O app dá {erro} quando tento desbloquear|Preciso do cartão pra viagem amanhã|Não consigo usar pra nada enquanto bloqueado|Ninguém explica o motivo do bloqueio"
"cartao","0.025","0.950","0.025","Cancelei compra de {valor} na {loja} e estorno não veio|Devolvi produto na {loja} de {valor} e estorno não apareceu|Cancelei assinatura da {loja} {tempo} e continuam cobrando|A {loja} fez estorno mas apareceu como nova cobrança","Já faz {tempo} e nada. A loja confirmou cancelamento|Preciso do dinheiro de volta|Toda fatura vem a mesma cobrança|Quero que bloqueiem cobranças dessa loja"
"cartao","0.025","0.950","0.025","Compra internacional de {valor} tá com valor errado em reais|Compra em dólar foi convertida com taxa absurda|Comprei na {loja} em dólares e IOF veio dobrado|Tentei compra internacional e cartão recusou","Paguei muito mais pela conversão|Não entendo o câmbio que aplicaram|Compras internacionais tão habilitadas|Quero entender a cobrança de IOF"
"cartao","0.000","0.050","0.950","Roubaram minha carteira e tão fazendo compras no cartão|Perdi cartão e não consigo bloquear pelo app|Cartão foi roubado e fizeram {valor} em compras|Fui assaltado e levaram meu cartão","Preciso bloquear urgente e contestar compras|O app dá {erro} quando tento bloquear|Quero cartão novo o mais rápido possível|Preciso cancelar compras feitas após o roubo"
"cartao","0.950","0.050","0.000","Quero trocar bandeira do cartão|Quero cartão adicional pro cônjuge|Como vincular ao Apple Pay ou Google Pay?|Quero cancelar cartão de crédito mantendo a conta|Meu cartão tem seguro viagem?|Quero mudar data de vencimento da fatura","Não achei opção no app|Como faço pelo app?|Qual o procedimento?|Preciso de orientação"
"conta","0.000","0.050","0.950","Minha conta foi bloqueada e não consigo movimentar nada|Bloquearam minha conta sem aviso {tempo}|Minha conta tá bloqueada por motivo desconhecido|O banco bloqueou minha conta alegando irregularidade|Conta bloqueada há {tempo} e já mandei todos os documentos","Meu salário cai nessa conta e tenho contas pra pagar|Não consigo fazer nada, nem transferência nem boleto|Cada atendente fala um motivo diferente|Já mandei tudo que pediram e ninguém resolve|Preciso do meu dinheiro urgente"
"conta","0.025","0.950","0.025","Não consigo acessar minha conta pelo app|O app dá {erro} quando tento entrar|Minha senha parou de funcionar|Não consigo login desde {tempo}|Troquei de celular e não consigo acessar a conta|A biometria não funciona e a senha diz que tá errada","Já tentei redefinir senha e biometria e nada funciona|A verificação vai pro celular antigo que não tenho|Já reinstalei e nada mudou|Quando peço redefinição não chega o código"
"conta","0.025","0.025","0.950","Apareceu débito de {valor} que não reconheço|Sumiram {valor} da minha conta sem explicação|Tem débito de {valor} no extrato que não é meu|Vi transferência de {valor} que não fiz|Tiraram {valor} da conta sem autorização","Não autorizei e não sei de onde veio|Parece que alguém movimentou minha conta|No extrato aparece como débito automático que nunca autorizei|Preciso de estorno e investigação"
"conta","0.950","0.025","0.025","Quero encerrar minha conta|Preciso fechar minha conta e transferir saldo|Quero cancelar a conta porque vou mudar de banco|Quero encerrar mas o app diz que tem pendências","O app não tem essa opção|Não quero que cobrem tarifa depois|Já paguei tudo e mesmo assim não deixa|Qual o procedimento?"
"conta","0.950","0.050","0.000","Preciso atualizar endereço no cadastro|Mudei de celular e preciso atualizar número|Preciso alterar nome por casamento|Meu telefone no cadastro tá errado|Preciso atualizar email mas dá erro","O app não aceita a alteração, dá {erro}|Verificação vai pro contato antigo que não tenho|Mandei documentos e ninguém atualizou|Não consigo mudar pelo app"
"conta","0.950","0.050","0.000","Preciso de extrato detalhado dos últimos 3 meses|Quero comprovante de renda pro financiamento|Preciso do informe de rendimentos da poupança|Quero extrato em PDF dos últimos 6 meses|Preciso comprovante de saldo atualizado","O app não gera esse documento|É pra declaração do imposto de renda|Preciso pra financiamento|O formato do app não serve"
"conta","0.025","0.025","0.950","Meu saldo tá {valor} a menos do que deveria|Saldo não confere com as transações|Recebi salário de {valor} e saldo não atualizou|Saldo caiu {valor} sem transação no extrato|Fiz depósito de {valor} {tempo} e não apareceu","Fiz as contas e não bate|O dinheiro sumiu sem transação correspondente|O comprovante confirma mas a conta não reflete|Preciso que verifiquem o que aconteceu"
"conta","0.025","0.025","0.950","Meu CPF aparece irregular e bloquearam funções|O banco diz que meu CPF tem pendência|Conta restrita por pendência no CPF|O app diz que documento tá vencido","Na Receita Federal tá tudo regular|Não me deixam fazer transferências|Mandei documento atualizado e não aceitaram|Preciso resolver pra fazer pagamentos urgentes"
"conta","0.025","0.950","0.025","O app não abre desde {tempo}|Depois da atualização o app não funciona|O app trava toda vez que faço operação|O app dá {erro} quando abro|O app parou depois que atualizei o celular","Já desinstalei e instalei de novo|Já limpei cache e dados do app|Em outros celulares funciona|Antes funcionava normalmente"
"conta","0.025","0.950","0.025","Cobraram tarifa de {valor} que não reconheço|Cobrança de pacote de serviços que não contratei|Tão cobrando TED sendo que deveria ser grátis|Cobraram manutenção mas conta é digital|Tem seguro de {valor} que nunca autorizei","A conta era isenta de tarifas|Quero estorno e cancelamento|Nunca contratei esse serviço|Quero entender essa cobrança"
"conta","0.025","0.950","0.025","Débito automático da conta de luz não foi feito|Débito automático do aluguel falhou de novo|Quero cancelar débito automático e o app não permite|Débito automático debitou duas vezes","Tô com conta atrasada por culpa do banco|Preciso estorno do duplicado|O botão de cancelar não funciona|Quero cancelar tudo e pagar manualmente"
"conta","0.000","0.050","0.950","Abriram conta no meu nome sem autorização|Alguém usou meus documentos pra abrir conta|Recebi cobrança de conta que nunca abri|Notificações de conta que não é minha","Nunca fui cliente, quero que encerrem|Usaram meus dados fraudulentamente|Preciso que encerrem e investiguem|Isso tá afetando meu CPF"
"conta","0.025","0.025","0.950","Conta ficou negativa em {valor} sem autorizar|Cheque especial ativado sem pedir|Conta entrou no especial por cobrança indevida|Limite de cheque especial gerando juros de {valor}","Quero cancelar e estornar juros|Nunca pedi esse serviço|Preciso resolver antes que juros aumentem|Quero que zerem os juros"
"conta","0.950","0.050","0.000","Como funciona a poupança?|Preciso de conta PJ|Quero mudar pro plano sem tarifa|Como receber salário nessa conta?|Quero abrir conta conjunta","Posso fazer pelo app?|Qual o procedimento?|Preciso de orientação|Não achei informação no app"
"emprestimo","0.950","0.025","0.025","Pedi empréstimo de {valor} e negaram|Simulei empréstimo de {valor} e não tenho limite|Pedido de crédito recusado sem motivo|App ofereceu pré-aprovado de {valor} e quando fui contratar negaram","Meu score tá bom e sem restrição|Não entendo os critérios|Preciso do dinheiro pra emergência|Quero saber o que fazer pra aprovar"
"emprestimo","0.025","0.950","0.025","Não consigo pagar parcela de {valor} que vence essa semana|Perdi emprego e não pago parcela de {valor}|Parcela subiu de {valor2} pra {valor} sem aviso|Parcela atrasou porque boleto não foi gerado|Preciso de carência nas parcelas|A parcela de {valor} não cabe mais no orçamento","Preciso renegociar pra caber no orçamento|Preciso de prazo maior ou valor menor|Não quero ficar inadimplente|Agora vai ter multa e não foi minha culpa|Tô passando por dificuldades financeiras"
"emprestimo","0.025","0.025","0.950","Cobraram parcela de {valor} que já paguei|Apareceu empréstimo no meu nome que não contratei|Já quitei e continuam cobrando|Cobraram tarifa de {valor} fora do contrato|Descontaram {valor} de empréstimo que nunca fiz|Paguei na data e cobraram multa de {valor}","Tenho comprovante e mesmo assim descontaram|Nunca autorizei, quero cancelamento|Quero estorno imediato|Preciso que verifiquem e corrijam"
"emprestimo","0.025","0.950","0.025","Quero renegociar empréstimo de {valor}|Preciso de mais prazo pro empréstimo|Quero antecipar parcelas pra desconto nos juros|Consegui proposta melhor em outro banco|Quero juntar duas dívidas em uma","Parcelas de {valor2} tão muito altas|Taxa de {taxa}% tá acima do mercado|Aceito prazo maior se parcela diminuir|Como faço pelo app?"
"emprestimo","0.025","0.025","0.950","Nome negativado por parcela que paguei em dia|Paguei dívida de {valor} e nome continua sujo|Negativaram por empréstimo já renegociado|Nome no SPC/Serasa indevidamente|Quitei há {tempo} e nome ainda sujo","Tenho comprovante mas não tiraram restrição|Preciso da carta de quitação urgente|Tá me impedindo de conseguir crédito|Preciso limpar nome pra financiamento"
"emprestimo","0.025","0.950","0.025","Juros do empréstimo são {taxa}% ao mês, muito acima do combinado|Taxa tá em {taxa}% e vi que oferecem {taxa2}% pra novos|Disseram que taxa seria {taxa2}% mas vem {taxa}%|CET muito diferente do informado","No contrato era pra ser menos|Quero igualar à taxa de novos clientes|Quero esclarecimento sobre a diferença|Os juros combinados não são esses"
"emprestimo","0.950","0.050","0.000","Quero simular empréstimo de {valor}|Preciso info sobre empréstimo com garantia|Quanto fica parcela de {valor} em {nparcelas} vezes?|Quero entender opções de crédito disponíveis|Qual a taxa pra empréstimo pessoal?","Pra saber parcelas e juros|Quero comparar com outros bancos|Sou servidor, fazem consignado?|Preciso de {valor} pra reforma"
"emprestimo","0.025","0.025","0.950","Boleto da parcela não gerou e vence amanhã|Não consigo gerar boleto da parcela atrasada|Parcela venceu e não consigo segunda via|Boleto veio com valor diferente da parcela","Preciso pagar pra não gerar multa|O app dá {erro}|Preciso pagar urgente pra não negativar|Quero entender a diferença no valor"
"emprestimo","0.950","0.025","0.025","Quero quitar antecipadamente|Valor de quitação tá muito alto|Quero pagar parcelas adiantadas mas app só quita tudo|Fiz quitação e cobraram mais que o informado","Qual o saldo devedor atualizado?|O desconto deveria ser maior pela antecipação|Quero a diferença de volta|Como faço pelo app?"
"emprestimo","0.025","0.025","0.950","Contratei empréstimo e me arrependi, quero cancelar|Fizeram empréstimo na minha conta sem eu pedir|Funcionário contratou sem autorização|Ligaram e contrataram sem meu consentimento","Quero cancelar dentro do prazo de 7 dias|Valor de {valor} creditado e já cobram parcelas|Quero cancelamento e apuração|Nunca autorizei, quero estorno total"
"emprestimo","0.025","0.025","0.950","Desconto do consignado no salário tá maior que combinado|Consignado ultrapassou margem consignável|Consignado portado sem autorização|Desconto continua mesmo depois de quitado","Era {valor2} e tão descontando {valor}|Quero reverter portabilidade|Preciso que parem de descontar|Tá comprometendo meu orçamento"
"emprestimo","0.025","0.950","0.025","Parcela tem IOF muito alto que não informaram|Tem seguro e tarifa na parcela que não explicaram|Valor total ficou muito maior por taxas escondidas|Parcela era {valor2} mas com taxas fica {valor}","Quando contratei mostraram outro valor|Quero detalhamento de todas cobranças|Não concordo com taxas não apresentadas|Quero rever contrato e contestar"
"emprestimo","0.025","0.950","0.025","Recebo ligações de cobrança todo dia sobre empréstimo já renegociado|Cobrança por SMS email e ligação mesmo pagando em dia|Cobrando dívida que já prescreveu|Cobranças agressivas de dívida que não é minha","Isso é assédio e quero que pare|Tô pagando certinho|Nunca contratei empréstimo nesse banco|Quero registrar reclamação formal"
"emprestimo","0.025","0.950","0.025","Quero portar empréstimo pra banco com taxa menor|Pedi portabilidade há {tempo} e não liberam|Outro banco disse que vocês não responderam|Quanto ficaria se reduzirem taxa pra eu não portar?","Taxa de {taxa}% é alta demais|Preciso que liberem portabilidade|Vocês têm contraproposta?|Quero comparar condições antes de decidir"
"emprestimo","0.950","0.025","0.025","Preciso do contrato do empréstimo|Quero cópia com todas as condições|Preciso do histórico de pagamentos|Onde vejo saldo devedor atualizado?","Não encontro no app|Preciso pra processo judicial|No app só mostra parcela, não o total|Quero conferir cláusulas"
"investimento","0.025","0.950","0.025","Meu {investimento} rendeu muito menos que prometido|Rendimento do {investimento} não bate com taxa informada|Apliquei {valor} em {investimento} e rendimento tá negativo|Rendimento dos últimos meses tá abaixo do CDI","Investi {valor} esperando mais|Deveria render {taxa}% e rende menos|Disseram que era renda fixa sem risco|Prometeram acima da poupança quando apliquei"
"investimento","0.025","0.025","0.950","Quero resgatar {valor} do {investimento} e o app não deixa|Resgate diz D+30 mas venderam como D+0|Pedi resgate {tempo} e dinheiro não caiu|Botão de resgate desabilitado no app|Preciso resgatar {valor} e dá {erro}","Disseram que tinha liquidez diária|Preciso do dinheiro pra emergência|O prazo de carência já passou|Quero saber quando vou receber"
"investimento","0.025","0.025","0.950","Aplicação de {valor} em {investimento} não aparece na carteira|Investimentos sumiram do app, era {valor} total|O app não mostra meu {investimento}|Apliquei {valor} e dinheiro saiu da conta mas não aparece|Carteira de investimentos zerou do nada","O dinheiro saiu e não voltou|Antes aparecia e agora sumiu|Preciso saber onde tá meu dinheiro|Parece erro mas ninguém confirma"
"investimento","0.950","0.025","0.025","Não entendo as taxas do {investimento}|Resgatei {valor} e veio menos por taxas|Taxa de administração subiu sem aviso|Cobraram taxa de performance fora do regulamento|IR no resgate tá errado","Veio cobrança de {valor} não prevista|Descontaram taxas não informadas|Quero sair sem penalidade|Cobraram mais que tabela regressiva"
"investimento","0.025","0.950","0.025","Quero migrar investimentos de {valor} pra outra corretora|Pedi transferência {tempo} e não fizeram|Quero portabilidade do {investimento} e não tem opção|Portabilidade travada há {tempo}","Qual o procedimento?|Preciso que liberem logo|Tão dificultando a portabilidade|Quero levar tudo pra outra instituição"
"investimento","0.950","0.050","0.000","Preciso do informe de rendimentos pro IR|Não acho informe no app|Informe tá com valores errados|Preciso informe de anos anteriores|Quando sai o informe desse ano?","É pra declaração do imposto|Não confere com extratos|No app só tem do ano passado|Prazo da declaração tá chegando"
"investimento","0.025","0.950","0.025","Não recebi dividendos do {investimento}|Dividendos com valor errado|Imposto sobre dividendos veio maior|Proventos não creditados na data|Faz 2 meses sem dividendos do fundo","Deviam cair {tempo}|Cobraram imposto demais|Valor informado era outro|Antes caíam certinho todo mês"
"investimento","0.950","0.050","0.000","Quero saber sobre {investimento}|Quero começar a investir|Diferença entre {investimento} e poupança?|Sou iniciante, que produto recomendam?|Quero diversificar além da poupança","Qual rendimento e prazo mínimo?|Tenho {valor} disponível|Quero entender qual rende mais com segurança|Quero entender riscos antes de aplicar"
"investimento","0.025","0.025","0.950","Fizeram aplicação de {valor} em {investimento} sem autorização|Dinheiro aplicado automaticamente em {investimento} sem eu pedir|Gerente aplicou {valor} sem consentimento|Tem aplicação de {valor} que não fiz","Quero dinheiro de volta na conta corrente|Nunca autorizei|Quero estorno imediato|Quero saber quem autorizou"
"investimento","0.025","0.950","0.025","Resgatei {valor} do {investimento} e recebi menos|Valor resgatado não bate com extrato|Resgate parcial e saldo restante errado|Resgatei tudo e valor menor que aplicado","Diferença é de {valor2}|Descontaram come-cotas fora do período|Deveria ter vindo mais pelo rendimento|Quero explicação do cálculo"
"investimento","0.950","0.025","0.025","Quero mudar perfil de investidor|App não deixa investir em {investimento} pelo perfil|Respondi questionário errado e quero refazer|Perfil venceu e bloquearam investimentos","Sou conservador e quero mudar pra moderado|Quero acessar renda variável|Questionário dá erro quando refaço|Preciso resolver pra não perder oportunidade"
"investimento","0.025","0.950","0.025","{investimento} venceu e dinheiro não caiu na conta|Quero saber data de vencimento do título|Quando posso vender sem IOF regressivo?|Prazo do investimento mudou sem aviso","Vencimento era {tempo} e não recebi|Preciso me planejar pra reinvestir|Afeta meu planejamento financeiro|Quero entender regras de carência"
"investimento","0.025","0.025","0.950","Fundo que apliquei {valor} foi encerrado sem aviso|{investimento} liquidado e recebi menos que apliquei|Produto descontinuado e migraram dinheiro sem autorização|Aplicação de {valor} sumiu após atualização do app","Onde tá meu dinheiro?|Perdi {valor2} nessa liquidação|Não autorizei migração|Quero dinheiro de volta na conta"
"investimento","0.950","0.025","0.025","Quanto de imposto pago se resgatar agora?|Preciso entender tributação do {investimento}|IR no resgate veio muito alto|Não entendo porque descontaram tanto imposto","Apliquei {valor} há poucos meses|Achei que alíquota seria menor|IR consumiu boa parte do rendimento|Quero calcular antes de resgatar"
"atendimento","0.025","0.950","0.025","Já abri {nchamados} chamados sobre o mesmo problema|Chamado {protocolo} aberto {tempo} sem retorno|Abri chamado {tempo} e disseram que resolveriam em {dias_uteis} dias|Chamado fechado sem solução real|Protocolo {protocolo} sem resolução há {tempo}","Ninguém resolve e faz {tempo} que espero|Já mandei mensagem pelo chat e email|Já passou do prazo e nada|O problema continua igual|Toda vez abrem chamado novo em vez de resolver o antigo"
"atendimento","0.025","0.950","0.025","Atendente {nome} foi grosseiro comigo|Atendente do chat foi rude e encerrou sem resolver|Fui maltratado no atendimento|Atendente me tratou com desrespeito|Fui xingado pelo atendente quando reclamei","Quero reclamação formal|Tenho print da conversa|Quero falar com supervisor|Isso é inaceitável|Quero que tomem providências"
"atendimento","0.025","0.025","0.950","Atendente passou informação errada|Cada atendente fala coisa diferente|Disseram que resolveriam {tempo} e não fizeram|Atendente disse que estorno cairia em {dias_uteis} dias e não caiu|Orientação do atendente piorou meu problema","Por causa disso perdi prazo de contestar {valor}|Um diz 3 dias outro diz 15|Agora dizem que nunca falaram isso|A informação tava errada|Anotei tudo e respostas se contradizem"
"atendimento","0.025","0.950","0.025","Não consigo falar com ninguém do banco|Tentei ligar chat e email e ninguém responde|Chat dá {erro}|Faz {tempo} que tento contato sem sucesso|Telefone não atende e chat offline|Fico 40 min na espera e cai a ligação","Chat só tem bot e não resolve|Preciso falar com humano|Como falo com vocês se nada funciona?|Preciso resolver problema urgente sem canal"
"atendimento","0.025","0.950","0.025","Prometeram ligar de volta {tempo} e nunca ligaram|Supervisor disse que resolveria em 24h|Disseram que escalariam pra equipe técnica|Garantiram resolução em {dias_uteis} dias úteis|Atendente prometeu retorno por email","Já faz {tempo} e ninguém entrou em contato|Problema continua sem solução|Prazo venceu e nem atualização recebi|Nem no spam encontro resposta"
"atendimento","0.025","0.950","0.025","Mandei documentos e disseram que não era necessário|Mandei pro canal errado e pedem de novo|Cada contato pedem documentos diferentes|Enviei {tempo} e até agora em análise|Mandei 3 vezes e dizem que ficou ilegível","Perdi tempo enviando à toa|Primeiro RG depois CNH agora selfie|Ninguém analisa|Enviei em alta resolução e recusam"
"atendimento","0.025","0.950","0.025","Atendimento de vocês é péssimo|Pior atendimento que já vi|Muito decepcionado com o banco|Vou reclamar no Banco Central|Vocês perderam um cliente","Liguei {nchamados} vezes e ninguém resolve. Vou pro Procon|Faz {tempo} que tento resolver coisa simples|Atendimento não funciona e app dá erro|Vou trocar de banco"
"atendimento","0.025","0.950","0.025","Chatbot não entende meu problema|Atendimento automático é inútil|Tentei todas opções do chatbot|Bot encerrou dizendo que resolveu mas não resolveu|Bot me mandou pro FAQ que não tem relação","Fico em loop sem solução|Preciso de pessoa real|Nenhuma opção se aplica ao meu caso|Quero falar com humano"
"atendimento","0.025","0.950","0.025","Me transferiram {nchamados} vezes entre setores|Toda vez pedem pra explicar de novo|Transferido pro técnico financeiro e de volta|Atendente derrubou ligação na transferência","Fiquei 2 horas no telefone sem resolver|Ninguém lê histórico do chamado|Ninguém assume responsabilidade|Tive que explicar tudo de novo"
