produto,texto,tipos_aceitos
pagamentos,Preciso de ajuda para resolver {problema} em um pagamento.,estado|acao_errada
pagamentos,O pagamento apresentou inconsistência relacionada a {problema}.,acao_errada
pagamentos,Solicito esclarecimentos sobre {problema} em um pagamento.,estado
renegociacao,"Estou tentando renegociar minha dívida, mas ocorreu {problema}.",evento
renegociacao,"Desde {tempo}, percebi {problema} na renegociação solicitada.",estado|evento
renegociacao,A renegociação apresenta {problema} e não consigo prosseguir.,estado
renegociacao,"Solicitei a renegociação, porém houve {problema}.",evento
renegociacao,Estou enfrentando dificuldades na renegociação devido a {problema}.,estado|acao_errada
renegociacao,O processo de renegociação está com {problema}.,estado
renegociacao,Identifiquei {problema} ao tentar renegociar minha dívida.,evento|acao_errada
renegociacao,A renegociação não ocorreu corretamente por causa de {problema}.,evento
renegociacao,O valor apresentado na renegociação está incorreto devido a {problema}.,acao_errada
renegociacao,"Desde {tempo}, aguardo solução para {problema} na renegociação.",estado
renegociacao,A renegociação foi afetada por {problema}.,evento
renegociacao,Não obtive retorno do banco sobre {problema} na renegociação.,estado
renegociacao,Estou insatisfeito com a renegociação por conta de {problema}.,estado|acao_errada
renegociacao,O banco não resolveu {problema} relacionado à renegociação.,estado|acao_errada
renegociacao,A renegociação apresentou falhas relacionadas a {problema}.,acao_errada
renegociacao,Preciso de ajuda para resolver {problema} na renegociação.,estado|acao_errada
renegociacao,Identifiquei {problema} após concluir a renegociação.,evento
renegociacao,A renegociação não refletiu corretamente por causa de {problema}.,estado
renegociacao,Houve inconsistência na renegociação devido a {problema}.,acao_errada
renegociacao,O processo de renegociação está parado por conta de {problema}.,estado
renegociacao,A renegociação gerou transtornos em função de {problema}.,evento|acao_errada
renegociacao,"Solicitei renegociação, mas encontrei {problema}.",evento|acao_errada
renegociacao,O acordo de renegociação apresenta {problema}.,acao_errada
renegociacao,"Desde {tempo}, tento resolver {problema} na renegociação.",estado
renegociacao,Solicito a correção do {problema} identificado na renegociação.,acao_errada
