relato;area;urgencia
QUERO RECEBER AVISO DE CADA COMPRA E TRANSFERÊNCIA. É DE GRAÇA. QUERO SÓ ENTENDER MELHOR.;seguranca;baixa
PRECISO ATUALIZAR MEU ENDEREÇO. PRECISO MANDAR COMPROVANTE.;cadastro;baixa
Opa, tudo bem. Vocês perderam um cliente. Faz hoje que tento resolver coisa simples. Preciso resolver questão da conta. Att.;atendimento;media
Cartão novo veio com nome errado. No app mostra enviado mas não recebi. Obrigado desde já.;cartao;baixa
Boa noite. Prazo de resposta estourou e ninguém se manifestou. Ninguém dá posição. Preciso de uma solução em breve.;atendimento;media
Como paro de receber extrato em papel. Tem opção no app.;cadastro;baixa
App dá erro quando tento mudar cadastro. Trava na hora de confirmar. Tá me atrapalhando. Valeu.;cadastro;media
O cashback deveria cair em 30 dias e já passou. Outros clientes receberam e eu não.;cartao;baixa
Dinheiro aplicado automaticamente em debêntures sem eu pedir. Quero dinheiro de volta na conta corrente.;investimento;alta
Meu CPF aparece irregular e bloquearam funções. Preciso resolver pra fazer pagamentos urgentes.;conta;alta
Oi gente. Parcela tem IOF muito alto que não informaram. Quero detalhamento de todas cobranças.;emprestimo;media
Oi. Quero cadastrar dispositivo confiável. Preciso de orientação.;seguranca;baixa
Olá, bom dia. Meus dados pessoais apareceram num vazamento. Quero saber se minha conta tá segura. Grata.;seguranca;media
Outro banco disse que vocês não responderam. Vocês têm contraproposta. Podem me ajudar?;emprestimo;media
Como faço pra abrir conta MEI. Tem taxa mensal.;cadastro;alta
E aí. Como habilitar verificação por biometria. Como configuro. Quando puderem me responder. Agradeço a atenção.;seguranca;baixa
Cada atendente fala coisa diferente. Um diz 3 dias outro diz 15. Tô tendo prejuízo financeiro real. Aguardo retorno.;atendimento;alta
Olá. Vi transferência de 18022 reais que não fiz. Não autorizei e não sei de onde veio. Isso tá gerando juros e multas. Abraço.;conta;alta
Oi, boa noite. Cartão foi roubado e fizeram R$584,24 em compras. O app dá loop de login quando tento bloquear.;cartao;alta
Recebi salário de R$ 20 e saldo não atualizou. Preciso que verifiquem o que aconteceu.;conta;alta
Boa noite. Resgatei tudo e valor menor que aplicado. Deveria ter vindo mais pelo rendimento. Queria que agilizassem.;investimento;media
Opa. Tentei todas opções do chatbot. Nenhuma opção se aplica ao meu caso. Já faz um tempo e não resolveram.;atendimento;media
Solicitei devolução pelo MED e o prazo passou. Já tentei contato com destinatário e nao resolve.;pix;media
Desconto do consignado no salário tá maior que combinado. Tá comprometendo meu orçamento.;emprestimo;alta
LCA liquidado e recebi menos que apliquei. Não autorizei migração. Não consigo fazer nenhuma operação financeira.;investimento;alta
Troquei de celular e preciso configurar o app. É um celular novo. Posso aguardar. Att.;seguranca;baixa
Atendimento automático é inútil. Preciso de pessoa real.;atendimento;media
Simulei empréstimo de R$130,56 e não tenho limite. Preciso do dinheiro pra emergência.;emprestimo;baixa
E aí. Como configuro limite de pix por período. É pra segurança. Nada grave. Valeu.;pix;baixa
Pessoal. Quanto ficaria se reduzirem taxa pra eu não portar?. Quero comparar condições antes de decidir. Já tentei resolver sozinho e não consegui.;emprestimo;media
Abriram conta no meu nome sem autorização. Nunca fui cliente, quero que encerrem.;conta;alta
Eae. Quero portar empréstimo pra banco com taxa menor. Quero comparar condições antes de decidir. Tá me atrapalhando. Fico no aguardo.;emprestimo;media
Olá, bom dia. Chat funciona no fim de semana?. Tentei domingo e indisponível.;atendimento;baixa
Meu investimento de R$ 95,61 foi liquidado sem eu pedir. Não fui eu. Preciso do dinheiro pra pagar conta que vence hoje.;investimento;alta
Mudei de nome e quero atualizar nos documentos do banco. Quanto tempo demora.;cadastro;baixa
Agendei pix de R$ 13820 e não foi feito na data. A conta que ia pagar gerou juros de atraso.;pix;media
Vocês prometeram responder em 10 dias e já passou. Já liguei várias vezes. É sobre problema com pix.;atendimento;alta
Não consigo gerar boleto da parcela atrasada. O app dá sessão expirada.;emprestimo;alta
Meu número antigo não funciona mais. Preciso ir na agência. Minha renda tá comprometida por essa cobrança.;cadastro;alta
Oi gente. Dinheiro aplicado automaticamente em LCA sem eu pedir. Quero saber quem autorizou. Obrigada.;investimento;alta
Compra em dólar foi convertida com taxa absurda. Nao entendo o câmbio que aplicaram. Se demorar mais vai complicar.;cartao;media
Bom dia. Perdi meu celular com o app logado. Preciso bloquear o app remotamente. Fizeram transações na minha conta sem eu autorizar.;seguranca;alta
Quero cancelar a conta porque vou mudar de banco. O app não tem essa opção.;conta;baixa
Hackearam minha conta bancária. Preciso bloquear tudo. Aguardo retorno.;seguranca;alta
Oi gente. Biometria facial não tá reconhecendo meu rosto. Funcionava antes. Já faz um tempo e não resolveram.;seguranca;media
Opa, tudo bem. Mandei um pix de R$32,96 semana passada. e o dinheiro saiu da minha conta mas não chegou no destinatário. Gostaria de um retorno essa semana. Abraço.;pix;media
Eae. App não aceita minha biometria. Já tentei com luz diferente.;seguranca;media
Eae. Apareceu débito de R$ 29 que não reconheço. No extrato aparece como débito automático que nunca autorizei. Meu nome tá sujo por erro do banco.;conta;alta
Meu telefone no cadastro tá errado. Verificação vai pro contato antigo que não tenho.;conta;baixa
Olá. Quero começar a investir. Quero entender qual rende mais com segurança.;investimento;baixa
Quanto ficaria se reduzirem taxa pra eu não portar?. Vocês têm contraproposta.;emprestimo;media
Boa tarde. Recebi aviso de que meus dados bancários podem ter sido expostos. Preciso trocar todas as senhas. Nada grave.;seguranca;baixa
Celular foi furtado e precisam bloquear acesso. Não sei se tinham biometria. Preciso do estorno porque o valor é alto. Espero que resolvam.;seguranca;alta
Preciso atualizar nome após casamento. Qual o processo. Pode responder quando der. Obrigado.;cadastro;baixa
Quero encerrar minha conta. Já paguei tudo e mesmo assim não deixa. Att, {nome}.;conta;baixa
Quero ativar notificação pra cada transação. Pra monitorar melhor. Att.;seguranca;baixa
Cartão virtual não aceita em compras internacionais. Outros bancos funcionam normalmente.;cartao;baixa
Tô esperando retorno há mais de 5 dias. Vou reclamar no Reclame Aqui. Desde já agradeço.;atendimento;media
Quero cadastrar dispositivo confiável. O app pede verificação.;seguranca;baixa
Quero comparar CDB com Tesouro Direto. Tô comparando opções. Pode responder quando der.;investimento;baixa
Não recebi dividendos do ações. Antes caíam certinho todo mês.;investimento;media
Opa. Minha conta foi invadida e mudaram minha senha. Preciso bloquear tudo. Não consigo fazer nenhuma operação financeira. Agradeço a atenção.;seguranca;alta
Disseram q resolveriam faz uns dias e nao fizeram. Um diz 3 dias outro diz 15.;atendimento;alta
Quero cartão adicional pro cônjuge. Como faço pelo app.;cartao;baixa
Pessoal. Devolvi produto na Rappi de R$ 15176 e estorno não apareceu. Toda fatura vem a mesma cobrança. Quando tiver um tempinho. Grato pela atenção.;cartao;baixa
Documentos enviados e cadastro não atualizou. O prazo já passou. Já tentei resolver sozinho e não consegui.;cadastro;media
Como registro meu celular novo no app. Preciso de orientação.;seguranca;baixa
Quero mudar pro plano sem tarifa. Não achei informação no app.;conta;baixa
Imposto sobre investimento tá errado. Isso afetou meu rendimento.;investimento;media
Meus dados pessoais apareceram num vazamento. Preciso trocar todas as senhas. Fico no aguardo.;seguranca;media
Como declarar investimentos no ir. qual campo usar. nada grave.;investimento;baixa
Meu CPF tá sendo usado pra fraude. Preciso d boletim de ocorrência.;seguranca;alta
Oi, boa noite. Rendimento do CDB d liquidez diária tá mt abaixo do prometido. Não me avisaram do risco. Se puderem olhar com atenção.;investimento;media
Onde vejo saldo devedor atualizado?. Não encontro no app. Podem me ajudar?;emprestimo;baixa
Oi, boa noite. Meus pontos zeraram sem eu resgatar. A promoção dizia 5% de volta. Nada grave.;cartao;baixa
Opa, tudo bem. Preciso de documento comprovando que não devo nada. O banco pode emitir.;conta;baixa
Tem compra de R$ 1775 no cartão virtual que não fiz. Como conseguiram os dados. Abraço.;cartao;alta
Apareceu parcela de empréstimo debitando direto da conta. Meu saldo foi comprometido. Agradeço a atenção.;conta;alta
ENVIEI ONTEM E ATE AGORA EM ANÁLISE. ENVIEI EM ALTA RESOLUCÃO E RECUSAM. PRECISO QUE ANALISEM ISSO.;atendimento;media
Boa tarde. Onde fica a agência mais próxima. Preciso de atendimento presencial.;atendimento;baixa
Olá. Como atualizo minha renda no cadastro. Qual comprovante precisa. Pode responder quando der.;cadastro;baixa
Tiraram R$ 476,80 da conta sem autorização. Não autorizei e não sei de onde veio. Não consigo fazer nenhuma operação financeira.;conta;alta
Meu cadastro tá incompleto e não consigo usar serviços. Tá impedindo transferências. Meu nome tá sujo por erro do banco. Obrigado.;cadastro;alta
Notificaçao de login de cidade diferente. Minha senha pode ter vazado. Nao e emergência mas preciso resolver.;seguranca;media
Olá. Pix agendado de 3806 reais foi cancelado pelo banco. Preciso que reprocessem. Isso tá gerando juros e multas. Valeu.;pix;alta
Quero alterar a data de vencimento da fatura. Fica melhor pro meu orçamento. Espero que resolvam.;cartao;baixa
E aí pessoal. Não consigo atualizar meus dados pelo app. Aparece erro desconhecido.;cadastro;media
Transferência de R$8.321,16 saiu da conta mas não chegou. O destinatário precisa do valor. Desde já agradeço.;conta;media
Olá. Tô vendo compras sendo feitas no meu cartão em tempo real. Preciso bloquear agora. Obrigado desde já.;cartao;media
Compraram R$60,39 no meu cartão agora e tô recebendo notificações. Já são R$60,39 em compras.;cartao;alta
Qual a taxa pra empréstimo com garantia. É pra comparar com outros bancos. Tô só conferindo. Valeu.;emprestimo;baixa
Fiz um pix de 2675 reais e mandei pra chave errada. Preciso do estorno porque era pagamento importante. Fizeram transacões na minha conta sem eu autorizar.;pix;alta
Opa, tudo bem. Pediram pra eu validar identidade e não consigo. Preciso validar pra usar a conta. Agradeço a atenção.;cadastro;baixa
O pix agendado foi cancelado sem minha autorização. A pessoa ficou sem receber e tô com conta atrasada.;pix;media
E aí. Preciso do histórico de pagamentos. No app só mostra parcela, não o total.;emprestimo;baixa
Quero mudar minha chave pix de CPF pra email. Qual tipo de chave é melhor. Aguardo retorno.;pix;baixa
FII liquidado e recebi menos que apliquei. Não autorizei migração. Grata.;investimento;alta
E aí. Alguém alterou meu cadastro sem autorização. Não autorizei nenhuma mudança. Obrigado.;cadastro;alta
Alô. Alguém resgatou meu fundo multimercado de R$ 1437 sem autorização. Minha carteira tá zerada. Minha conta também tá com problema. Att, {nome}.;investimento;alta
TED que fiz de R$ 2.644,58 ñ chegou no destino. Dinheiro sumiu entre os bancos.;conta;media
Minha senha parou de funcionar. Já reinstalei e nada mudou. Preciso de uma posição.;conta;media
Esperei mais de uma hora no telefone. Não tem outra opção.;atendimento;media
WhatsApp de vocês não responde. Preciso resolver algo fora do app.;atendimento;baixa
Preciso incluir minha esposa na conta. Pode ser pelo app.;conta;baixa
Notificação de login de cidade diferente. Quero trocar todas as senhas.;seguranca;alta
Preciso da segunda via do comprovante de residência cadastrado. Quero conferir se tá certo.;cadastro;baixa
Qual a taxa pra empréstimo com garantia. Qual o CET total. Quero só entender melhor.;emprestimo;baixa
Tem como ajustar limite pix por horário. é pra segurança.;pix;baixa
A fatura veio com juros de R$ 63,03 mas paguei na data. Tenho comprovante de cancelamento da loja.;cartao;media
Saldo não confere com as transações. Preciso que verifiquem o que aconteceu. Preciso do dinheiro pra pagar conta que vence hoje.;conta;alta
Simulei empréstimo de 20254 reais e não tenho limite. Meu score tá bom e sem restrição.;emprestimo;baixa
Quero saber os horários de limite reduzido. Preciso de limite maior à noite. Nada grave. Obrigado.;pix;baixa
Fico 40 min na espera e cai a ligação. Preciso resolver problema urgente sem canal.;atendimento;media
Quero saber data de vencimento do título. Preciso me planejar pra reinvestir. Queria que agilizassem.;investimento;media
Proventos não creditados na data. Antes caíam certinho todo mês.;investimento;media
O app não abre desde faz 10 dias. Antes funcionava normalmente.;conta;media
Qual agência atende no sábado. Preciso de atendimento presencial.;atendimento;alta
Preciso do protocolo pra Procon. Me deram número errado. Pode ser no prazo normal.;atendimento;baixa
Data de nascimento tá errada no cadastro. O erro não é meu. Preciso do dinheiro pra pagar conta que vence hoje.;cadastro;alta
Quero abrir conta PJ. Quero pra minha empresa. Tô só conferindo.;cadastro;baixa
E aí pessoal. Esqueci minha senha e quero redefinir. Posso fazer pelo app. Sem pressa.;seguranca;baixa
Fui vítima de fraude e mandei R$21.879,40 por pix. Quero acionar o MED.;pix;alta
Opa, tudo bem. Saldo caiu R$ 20.056,19 sem transação no extrato. Fiz as contas e não bate. Nem pix consigo fazer. Agradeço a atenção.;conta;alta
Mandei pix de R$ 20250 e saiu o dobro da conta. O destinatário recebeu duas vezes e preciso recuperar. Isso tá gerando juros e multas. Espero uma solução.;pix;alta
Empréstimo foi debitado da minha conta sem autorização. Meu saldo foi comprometido.;conta;alta
Quero começar a investir. Tenho 1370 reais disponível.;investimento;baixa
Agendei pix de R$ 1095 e não saiu na data. Era pra conta de Patricia. Gostaria de um retorno essa semana.;pix;media
O banco diz que meu CPF tem pendência. Na Receita Federal tá tudo regular. Cada dia que passa perco dinheiro. Grato pela atenção.;conta;alta
Preciso do histórico de pagamentos. No app só mostra parcela, não o total. Fico no aguardo.;emprestimo;baixa
Olá. Quero receber aviso de cada compra e transferência. Pra monitorar melhor. Att, {nome}.;seguranca;baixa
Meu telefone no cadastro tá errado. O app não aceita a alteração, dá timeout.;conta;baixa
Boa tarde. Quero renegociar empréstimo de R$ 26988. Parcelas de 552 reais tão muito altas. Quero resolver logo pra não dar problema. Obrigada.;emprestimo;media
Minha conta foi invadida e mudaram minha senha. Já tentei redefinir e não consigo.;seguranca;alta
Boa noite. O app é seguro pra fazer transações de R$66,02. Quero ficar tranquilo. Tô tendo prejuízo financeiro real. Att.;seguranca;alta
Pedi empréstimo de R$ 1.192,59 e negaram. Quero saber o que fazer pra aprovar. Quero resolver com calma.;emprestimo;baixa
Qual a diferença entre LCI e LCA. Tô comparando opções. Fizeram transações na minha conta sem eu autorizar. Podem me ajudar?;investimento;alta
Meu limite de pix foi reduzido sem aviso. Pedi aumento de limite e não aprovaram.;pix;baixa
Cartão vence esse mês e não chegou substituto. Já deveria ter chegado. Gostaria de um retorno essa semana.;cartao;media
Quero exercer meus direitos LGPD. Quero relatório completo.;cadastro;baixa
Fiz TED faz uns dias e banco destino diz que não recebeu. O destinatário precisa do valor. Preciso de uma solução em breve.;conta;media
Tentei ligar chat e email e ninguém responde. Como falo com vocês se nada funciona. Tá me atrapalhando.;atendimento;media
Como funciona empréstimo FGTS. Qual o valor disponível. Podem me ajudar?;emprestimo;baixa
Alguém mudou o email e telefone da minha conta. Estão tentando roubar minha conta.;seguranca;alta
Quero declaração de quitação. Preciso com urgência pra cartório. Obrigada.;conta;baixa
Quero trocar meu telefone de contato. O antigo foi cancelado. Att, {nome}.;cadastro;baixa
Resgatei R$1.655,26 do fundo multimercado e recebi menos. Descontaram come-cotas fora do período. Se demorar mais vai complicar. Att, {nome}.;investimento;media
Meu cartão tá perto do vencimento e não recebi o novo. Preciso dele pra semana que vem. Obrigada.;cartao;media
Fizeram pix da minha conta de madrugada. Preciso trocar credenciais.;pix;alta
O app parou depois que atualizei o celular. Antes funcionava normalmente.;conta;media
Mudei d nome e quero atualizar nos documentos do banco. Pode ser pelo app. Preciso de retorno.;cadastro;media
Anteontem enviei R$ 54,24 por pix. e o status mostra concluído, mas quem deveria receber diz que não caiu nada.;pix;media
Opa, tudo bem. A função contactless parou ontem à tarde. Prefiro usar só com senha.;cartao;baixa
Meu Tesouro Selic tá com rentabilidade negativa. Isso era pra ser conservador.;investimento;media
Dados cadastrais foram alterados sem minha autorização. Quero bloquear tudo. Agradeço a atenção.;seguranca;alta
E aí pessoal. Tem compra de R$ 1901 no cartão virtual que não fiz. Como conseguiram os dados.;cartao;alta
Boa noite. Quero incluir nome social no cadastro. Tenho certidão. Obrigado.;cadastro;baixa
Boa tarde. Verificação de identidade tá falhando. Já tentei 4 vezes. Preciso resolver antes do vencimento.;cadastro;media
Trocaram meu endereço e telefone de contato. Não fui eu.;seguranca;alta
Oi. Prazo de 10 dias venceu sem solução. Não aceito respostas vagas sobre prazo. Se puderem olhar com atenção. Abraço.;atendimento;media
Boa noite. Minha chave pix sumiu do app. Diz que já tá em uso em outro banco. Posso aguardar.;pix;baixa
Oi, boa noite. Meu cartão foi clonado e tem compras que não fiz. Uma de R$ 27.067,92 na Kabum e outras menores. Já bloqueei pelo app. Tão descontando dinheiro da minha conta sem autorização. Espero uma solução.;cartao;alta
Boa tarde. Qual a taxa pra empréstimo pessoal?. Pra saber parcelas e juros. Pode ser no prazo normal. Abraço.;emprestimo;baixa
Qual a política de privacidade de dados. É meu direito. Nada grave.;cadastro;baixa
Boa noite. O app parou depois que atualizei o celular. Já limpei cache e dados do app.;conta;media
Cobraram anuidade de 61 reais sendo que é isento. Nunca autorizei esse serviço.;cartao;media
Apareceu saque de 16 reais que nao reconheço. Preciso d estorno e investigaçao. Preciso do estorno porque o valor é alto.;conta;alta
Resgate de R$ 28.253,31 que não solicitei. Quero investigação e estorno.;investimento;alta
Minha senha parou de funcionar. Quando peço redefinição não chega o código. Tá me atrapalhando.;conta;media
Quero alterar a data de vencimento da fatura. É possível pelo app.;cartao;baixa
Alguém tá usando meu cartão neste momento. Já são R$ 120 em compras. Cada dia que passa perco dinheiro. Desde já agradeço.;cartao;alta
Oi. App dá erro quando tento mudar cadastro. Aparece tente novamente mais tarde. Quero só entender melhor.;cadastro;baixa
E aí pessoal. Apareceram pix que eu não fiz totalizando R$24.865,66. Preciso que investiguem de onde acessaram. Fizeram transações na minha conta sem eu autorizar.;pix;alta
Alô. O atendente Amanda foi excelente. Resolveu meu problema rápido. Nada grave.;atendimento;baixa
Oi, boa noite. Apareceu empréstimo no meu nome que não contratei. Preciso que verifiquem e corrijam. Tão descontando dinheiro da minha conta sem autorização.;emprestimo;alta
Meu telefone no cadastro tá errado. Verificação vai pro contato antigo que não tenho. Grato pela atenção.;conta;baixa
Valor resgatado não bate com extrato. Quero explicação do cálculo. Preciso resolver antes do vencimento. Obrigada.;investimento;media
Olá. Conta entrou no especial por cobrança indevida. Quero que zerem os juros. Aguardo retorno.;conta;alta
Prazo do investimento mudou sem aviso. Afeta meu planejamento financeiro. Quero evitar que piore. Valeu.;investimento;media
Preciso atualizar endereço no cadastro. Mandei documentos e ninguém atualizou.;conta;baixa
Meu endereço tá desatualizado no sistema. Como faço pelo app.;cadastro;media
Quero mudar pro plano sem tarifa. Qual o procedimento.;conta;baixa
Quero elogiar o atendente Manuela. Foi muito atencioso. Preciso que analisem isso.;atendimento;media
Acordei com várias notificações de compra que ñ são minhas. Compraram na Americanas e na Zara sem autorização.;cartao;alta
Alô. Quero cancelar recebimento de correspondência física. Tô recebendo muito papel.;cadastro;baixa
Opa, tudo bem. O app não mostra meu FII. O dinheiro saiu e não voltou. Obrigado.;investimento;alta
Quero pedir cartao adicional pra Thiago. É pra minha esposa. Quero resolver com calma.;cartao;baixa
E aí. Perfil venceu e bloquearam investimentos. Quero acessar renda variável. Tô perguntando pra me organizar. Abraço.;investimento;baixa
Quero diversificar além da poupança. Quero entender riscos antes de aplicar.;investimento;baixa
Eae. Preciso da segunda via do comprovante de residência cadastrado. Quero conferir se tá certo. É só uma dúvida. Valeu.;cadastro;baixa
Apareceu pix de r$ 125 que nao fiz. não fui eu e quero bloquear.;pix;alta
Preciso de carência nas parcelas. Preciso de prazo maior ou valor menor. Preciso de retorno.;emprestimo;media
Negativaram por empréstimo já renegociado. Preciso limpar nome pra financiamento.;emprestimo;alta
Fiz upload dos documentos mas nada mudou. Preciso que validem. Queria que agilizassem. Valeu.;cadastro;media
O pix agendado foi cancelado sem minha autorização. Agora tenho que pagar multa por atraso. Tá pendente há dias.;pix;media
Chamado fechado sem solução real. Já passou do prazo e nada. Gostaria de um retorno essa semana.;atendimento;media
